sim_index,mut_rate,sel_coeff,sampling_start,num_samples,num_muts,total_branch_length,sackin_index,norm_sackin,pi,seg_sites,tajimas_d,num_singletons,external_clock_rate,internal_clock_rate,external_muts,internal_muts,external_length,internal_length,exp_fit_var,obsv_fit_var
41,0.0001,0.0,0,200,4154,4858.3,1543,-0.2719386678580107,0.0024085616686966137,0.13874398073836275,-2.9027260678545592,3318.0,0.9136882401960296,2.668249108007831,3318,836,3743.5000000000005,1114.8000000000004,0,0.0
42,0.0001,0.0,0,200,3779,4345.2,1305,-0.38423847151957485,0.0024381840986634697,0.12610353130016053,-2.864914910131355,2803.0,1.098093261330361,1.545941011129872,2805,974,3202.999999999998,1142.1999999999991,0,0.0
43,0.0001,0.0,0,200,3999,4536.6,1397,-0.34082846338149125,0.0023364246325259137,0.1336944890315677,-2.9004006368520923,3212.0,1.2642187454347342,1.7752622579646236,3212,787,3634.3000000000006,902.3000000000002,0,0.0
44,0.0001,0.0,0,200,4260,4743.1,1309,-0.38235107986139727,0.002728612632450705,0.14245585874799357,-2.8687467831304563,3307.0,1.0708712529989501,2.7464726462778,3307,953,3819.8000000000015,923.3,0,0.0
45,0.0001,0.0,0,200,3700,4284.8,1144,-0.4602059857612212,0.0023016046659191905,0.12369582664526485,-2.878661109655071,2914.0,0.9553851496328615,1.8341220703632566,2915,785,3393.400000000002,891.3999999999999,0,0.0
46,0.0001,0.0,0,200,4816,5447.1,1537,-0.27476975534527703,0.002784039579922159,0.16091492776886035,-2.9042798205822344,3994.0,0.9249183587599187,2.5499921675755983,3996,820,4603.4,843.7000000000007,0,0.0
47,0.0001,0.0,0,200,4112,4569.7,1408,-0.33563813632150297,0.0024232518934963762,0.1373060460139112,-2.8972102424429926,3287.0,0.9138489707313093,2.738229533138391,3287,825,3833.500000000001,736.1999999999999,0,0.0
48,0.0001,0.0,0,200,4065,4518.5,1471,-0.3059117177052066,0.002471916834036413,0.13590155163188872,-2.8869168165600354,3227.0,0.9882329100832226,1.8920136511786816,3227,838,3588.999999999999,929.4999999999998,0,0.0
49,0.0001,0.0,0,200,3838,4526.7,1531,-0.2776008428325434,0.0023722797373706378,0.12827715355805244,-2.880945011773951,3107.0,1.0591503061893675,1.5785855822019914,3109,729,3709.8000000000006,816.8999999999996,0,0.0
50,0.0001,0.0,0,200,3667,4390.3,1336,-0.3696111861686988,0.002347848122366767,0.12262573568753345,-2.8683901859501213,2905.0,0.9297338201907762,1.7904575176980535,2905,762,3453.3,937.0000000000001,0,0.0
51,0.0001,0.0,0,200,4900,5488.2,1185,-0.44086022126490126,0.0027524493790515646,0.16385767790262173,-2.9138895996033907,4178.0,0.9171451776005654,2.8453427474370154,4177,723,4742.200000000003,746.0000000000003,0,0.0
52,0.0001,0.0,0,200,4188,4872.8,1154,-0.4554875066157773,0.0024074559528514815,0.14001471375066882,-2.9058961099321423,3390.0,0.9536259210877439,1.7921154876761902,3390,798,3960.0999999999995,912.6999999999996,0,0.0
53,0.0001,0.0,0,200,4876,5335.8,1350,-0.3630053153650774,0.0028427130973219055,0.16305510968432316,-2.9017958859718185,4045.0,0.9659914538636064,1.8603874692265778,4045,831,4381.5999999999985,954.2,0,0.0
54,0.0001,0.0,0,200,4253,4935.5,1080,-0.4904042522920619,0.0026630191487131347,0.14218833600856073,-2.8768142780196815,3282.0,0.9152942993047,2.1818592517851987,3283,970,4034.800000000001,900.6999999999998,0,0.0
55,0.0001,0.0,0,200,3719,4266.4,1210,-0.4290640234012916,0.002335648278847412,0.12426431246655965,-2.8750932173893826,2998.0,1.0015846487471254,1.707074355222165,3001,718,3445.8999999999987,820.5,0,0.0
56,0.0001,0.0,0,200,5103,5655.7,1634,-0.2290005076344715,0.002822531262519197,0.1704454253611557,-2.91851577531025,4347.0,1.2332973340558524,2.6127584683123923,4349,754,4695.100000000001,960.6000000000003,0,0.0
57,0.0001,0.0,0,200,3874,4525.5,1271,-0.400281300614084,0.002435937378169618,0.12951444622792938,-2.875001915196273,3122.0,0.9494482858785801,2.3556135570796957,3123,751,3656.000000000002,869.5000000000003,0,0.0
58,0.0001,0.0,0,200,4681,5361.5,1474,-0.3044961739615734,0.0026114168353808262,0.1564673622257892,-2.915809770375692,3874.0,0.9269327561419286,1.517977251799155,3875,806,4500.599999999999,860.9000000000002,0,0.0
59,0.0001,0.0,0,200,4416,5107.0,1291,-0.39084434232319626,0.002548369186757796,0.1476391118245051,-2.9047988932154665,3571.0,0.9277466345092796,1.8531221157390179,3572,844,4093.2000000000007,1013.8000000000001,0,0.0
60,0.0001,0.0,0,200,4798,5457.0,1059,-0.5003130584974941,0.002554630428762367,0.16037988228999464,-2.930332562102927,4138.0,0.9303926144401283,1.7093382551759493,4140,658,4588.7,868.3000000000005,0,0.0
61,0.0001,0.0,0,200,4002,4748.3,1300,-0.3865977110922968,0.00229860007635822,0.133794810058855,-2.906018325999401,3253.0,0.8883969403015812,1.889895019270164,3254,748,3917.1999999999994,831.0999999999997,0,0.0
62,0.0001,0.0,0,200,3949,4503.9,1569,-0.25967062207985664,0.002713446849012395,0.13182182985553773,-2.841350086010764,3099.0,1.0800265296815785,1.9605363694802613,3100,849,3566.7000000000016,937.2000000000004,0,0.0
63,0.0001,0.0,0,200,4607,5108.2,1284,-0.39414727772500696,0.0026576854981166416,0.15399277688603533,-2.904967493576241,3773.0,0.9247374468066047,1.6252266100301662,3775,832,4219.300000000001,888.8999999999997,0,0.0
64,0.0001,0.0,0,200,4349,4972.7,1448,-0.31676421973972746,0.002752439296536254,0.14536516853932585,-2.872974710116204,3531.0,0.925940960424057,2.932782887076984,3528,821,4104.100000000001,868.6000000000001,0,0.0
65,0.0001,0.0,0,200,4818,5527.1,1425,-0.3276167217742484,0.0027496867698579433,0.16104868913857678,-2.9086048355563174,3934.0,0.882068388173819,1.6567820898795196,3936,882,4570.699999999999,956.3999999999999,0,0.0
66,0.0001,0.0,0,200,4231,4673.5,1198,-0.43472619837582427,0.0025650943992299776,0.14145264847512037,-2.8880908916399997,3350.0,0.940527720703569,3.0296775221096133,3350,881,3803.7000000000003,869.8000000000005,0,0.0
67,0.0001,0.0,0,200,3956,4646.7,1407,-0.3361099842360474,0.002296833955760583,0.132223113964687,-2.9023556800166905,3150.0,1.0112655329047602,1.5912804345321958,3151,805,3615.4999999999986,1031.1999999999998,0,0.0
68,0.0001,0.0,0,200,4568,5236.9,1426,-0.327144873859704,0.0026126653868594352,0.15275548421615837,-2.907885306117733,3749.0,0.9513240745345884,2.0434938158824623,3749,819,4333.399999999999,903.4999999999999,0,0.0
69,0.0001,0.0,0,200,4439,5308.6,1045,-0.5069189293011155,0.0024313582358018045,0.14837479935794542,-2.9214102855885735,3635.0,0.9365374962120603,1.886042510432563,3636,803,4365.799999999998,942.7999999999998,0,0.0
70,0.0001,0.0,0,200,4381,4857.1,1530,-0.27807269074708774,0.0024974692886584036,0.14640181915462813,-2.908604227874314,3592.0,1.1892948123744274,2.6850606443046274,3594,787,3979.000000000002,878.1000000000001,0,0.0
71,0.0001,0.0,0,200,3941,4513.7,1375,-0.35120911750146777,0.002533892375198648,0.13145398608881756,-2.866175227204165,3091.0,0.8716476847895904,1.8445141770507956,3091,850,3682.3000000000015,831.4,0,0.0
72,0.0001,0.0,0,200,3632,4144.5,1514,-0.28562225737979796,0.002305316711970743,0.12132156233279828,-2.8710988179939645,2772.0,1.0629896427740537,2.2064952322771743,2772,860,3152.2000000000007,992.3000000000004,0,0.0
73,0.0001,0.0,0,200,4660,5420.1,1194,-0.4366135900340018,0.0027599440487617974,0.15583199571963616,-2.896410552833376,3777.0,0.9016848410396762,2.5473430537018067,3774,886,4417.4000000000015,1002.6999999999998,0,0.0
74,0.0001,0.0,0,200,3685,4365.7,1512,-0.2865659532088867,0.0024153707273661066,0.12312734082397003,-2.859476480918139,2837.0,0.9772167962332956,2.300219047032573,2837,848,3440.4999999999995,925.1999999999996,0,0.0
